lsoa11,r_dec,h_dec,e_dec,ahah_dec
E01015110,3,8,4,4
E01019378,3,9,3,5
E01015249,3,5,3,1
E01015225,9,4,3,5
W01000071,2,9,2,5
E01019895,2,10,2,5
W01000936,7,8,3,5
E01020046,1,10,2,8
E01019011,3,9,1,4
W01000734,8,6,5,6
W01000560,1,10,3,9
W01000725,2,9,3,4
E01020022,10,1,3,7
E01007210,3,5,3,1
E01018781,1,10,2,8
W01001907,1,10,2,9
E01019019,6,5,4,2
E01019300,2,9,1,5
E01018971,3,8,2,2
W01000306,7,7,3,4
W01000537,1,10,1,9
E01019077,1,10,1,9
W01001187,2,6,4,1
W01000678,1,10,1,9
E01019166,9,3,6,7
E01018878,10,1,8,10
W01000467,2,7,1,1
W01000214,8,8,2,6
E01018932,5,9,2,6
W01001420,4,7,7,6
E01019179,4,9,6,6
E01019128,1,10,2,7
W01000313,8,3,6,4
W01001162,3,4,7,2
W01001933,1,10,1,8
E01007258,3,6,4,1
E01020186,1,10,4,6
E01029305,5,4,4,1
E01015187,6,7,2,3
E01019995,9,1,3,4
W01001034,1,6,2,1
E01015143,5,6,6,4
W01001087,3,3,7,1
E01015245,3,9,2,4
E01020133,7,3,2,1
E01018875,9,2,8,9
W01000985,4,9,5,6
W01000277,5,7,4,4
E01015179,9,1,10,10
E01029265,6,6,4,3
W01001478,6,7,6,5
E01019121,10,2,2,8
E01019016,2,9,8,8
W01001768,10,1,10,10
W01000575,2,9,4,6
E01029312,5,2,2,1
E01020228,10,5,2,7
W01000209,3,7,2,1
W01001499,3,7,5,3
E01019110,6,6,2,3
E01019982,4,7,2,2
W01001382,4,5,5,1
W01001946,6,7,9,9
E01019262,4,8,2,3
E01015176,6,5,8,6
W01000289,5,7,3,2
W01001355,2,8,3,2
W01000731,1,9,4,6
E01029267,1,10,4,7
W01001421,5,6,7,4
W01000810,7,5,4,3
W01001050,8,5,6,6
E01020147,1,10,2,8
E01020293,1,10,2,5
W01001089,3,7,6,4
W01000089,1,10,1,8
E01020120,2,9,2,4
E01007283,3,9,3,4
E01019141,10,1,8,10
E01019279,1,10,1,8
E01018931,2,10,3,6
E01015104,5,4,7,3
W01001838,10,1,10,10
W01001910,8,2,9,8
E01007302,9,2,3,4
E01007315,8,4,4,3
E01015124,4,3,6,1
W01000899,2,8,3,3
E01020171,1,10,2,6
W01001269,7,4,2,1
W01001350,10,4,10,10
W01000930,1,9,1,4
E01015192,5,5,6,3
E01020094,10,1,3,9
E01020298,3,4,2,1
W01000683,1,10,1,9
W01000945,2,10,1,6
W01000879,4,7,3,2
W01000819,4,6,7,3
W01001836,9,2,9,9
E01020156,2,10,2,6
W01001412,5,3,5,1
E01020342,1,9,2,4
W01000122,1,10,2,7
E01019045,3,9,5,6
E01019175,8,3,5,4
W01001148,9,3,4,4
W01001652,5,6,7,4
W01001207,3,9,2,5
W01001122,1,9,5,5
E01019079,6,6,1,2
E01018887,7,8,2,5
E01020280,10,3,2,8
W01001799,7,7,7,7
W01001764,9,1,10,10
W01001886,7,7,10,9
W01001209,3,9,2,3
E01020119,2,10,2,6
E01015105,6,3,7,4
W01000710,2,10,1,5
E01019947,5,6,1,2
W01001197,2,9,8,8
E01029288,8,3,5,4
W01001815,5,6,7,4
E01020069,1,10,2,7
W01000198,9,5,2,4
W01001444,2,8,8,6
E01029320,1,5,3,1
E01019058,2,8,3,3
E01032657,10,2,10,10
E01019008,5,7,1,2
E01020335,3,5,1,1
W01001111,2,7,5,2
E01007256,4,4,4,1
W01001950,8,4,10,10
E01020251,2,10,2,6
W01000732,9,4,6,7
W01000577,1,10,2,8
W01001280,2,9,3,4
E01015068,2,8,4,4
E01019096,5,9,2,5
W01000646,1,10,1,6
E01020170,2,9,3,4
W01000111,9,7,2,6
W01000201,3,9,2,4
W01001264,6,9,6,7
E01007208,9,2,4,6
E01015063,3,8,5,3
W01001844,5,6,7,5
E01028917,9,4,3,5
